,,,Not attended in past 2 weeks,,,,,,,,,,,,
Home AO or Visitor,Name,BD Count ,First BD,Last BD,Consistency,Listing,Cindy,Mug,Shirt,Cindy,,Mug,,Shirt,
Home AO,Mickey,251,5/16/2024,2/27/2026,72%,1,X,X,1,Mickey,X,Mickey,X,Mickey,1
,Cobra Kai,246,7/30/2024,2/26/2026,77%,1,X,X,4,SunDevil,X,CSharp,X,CSharp,2
,CSharp,234,6/1/2024,2/27/2026,68%,1,X,X,2,Samurai,X,Pi 3.14,X,Pi 3.14,3
,Pi 3.14,194,5/4/2024,2/27/2026,55%,1,X,X,3,CSharp,X,Cobra Kai,X,Cobra Kai,4
,Walter White,176,5/4/2024,2/26/2026,50%,1,X,X,7,CaliBoy,X,Kingpin,X,Baywatch,5
,Baywatch,165,8/8/2024,2/26/2026,52%,1,X,X,5,Carmen Sandiego,X,Baywatch,X,Kingpin,6
,Kingpin,155,6/15/2024,2/5/2026,46%,1,X,X,6,Kiwi,X,SunDevil,X,Walter White,7
,Skynet,140,2/11/25,2/27/26,66%,1,X,X,10,Coach,X,Catheter,X,SunDevil,8
,Catheter,130,8/13/2024,2/5/2026,41%,1,X,X,9,Baywatch,X,Walter White,X,Catheter,9
,Snacks,127,8/1/2024,2/26/2026,40%,1,X,,11,Snacks,X,Samurai,X,Skynet,10
,SunDevil,115,5/11/2024,1/16/2026,33%,1,X,X,8,Sugar daddy,X,Skynet,X,Snacks,11
,FG the Frost Giant,108,5/30/2025,2/27/2026,72%,1,X,,12,Catheter,X,Coach,X,FG the Frost Giant,12
,NoWay,105,6/10/2025,2/27/2026,72%,1,X,,13,Cobra Kai,X,Equalizer,X,NoWay,13
,Samurai,96,5/30/2024,2/26/2026,28%,1,X,X,,Pi 3.14,X,,,,
,Coach,90,7/30/2024,2/20/2026,28%,1,X,X,,Mako,X,,,,
,Macro,83,6/21/2025,2/26/2026,60%,1,X,,,Kingpin,X,,,,
,Equalizer,78,6/12/2025,2/26/2026,54%,1,X,X,,Blowout,X,,,,
,TrafficCone,58,6/20/2025,2/26/2026,42%,1,X,,,Foofoo,X,,,,
,Mako,50,5/4/2024,5/22/2025,14%,1,X,,,Walter White,X,,,,
,CaliBoy,45,6/1/2024,2/20/2026,13%,1,X,,,Triple Crown,X,,,,
,Yellowstone,37,10/26/2024,10/25/2025,14%,1,X,,,Nutria,X,,,,
,Tekken,36,8/29/2025,11/21/2025,36%,1,X,,,Zohan,X,,,,
,Nutria,34,9/10/2024,12/12/2025,11%,1,X,,,Norteno,X,,,,
,Blowout,30,8/27/2024,11/26/2024,10%,1,X,,,Marshall,X,,,,
,Apples,29,6/1/2024,2/13/2026,8%,1,X,,,Yellowstone,X,,,,
,Sunshine,28,11/5/2025,2/27/2026,44%,1,X,,,Hardback,X,,,,
,Sugar Daddy,25,8/20/2024,3/6/2025,8%,1,X,,,Switchblade,X,,,,
,MacNcheese,25,2/11/25,6/3/25,12%,1,X,,,Skynet,X,,,,
,TONKA,24,1/6/2026,2/27/2026,75%,1,X,,,Moose,X,,,,
,Zohan,23,9/14/2024,2/26/2026,8%,1,X,,,Apples,X,,,,
,X-games,23,2/11/25,5/2/25,11%,1,X,,,X-games,X,,,,
,SixFour,22,11/25/2025,2/26/2026,41%,1,X,,,MacNcheese,X,,,,
,High Life,22,10/21/2025,2/21/2026,31%,1,X,,,Footlocker,X,,,,
,Norteno,21,6/15/2024,3/1/2025,6%,1,X,,,Stiltskin,X,,,,
,Odd Job,20,10/5/2024,11/29/2025,7%,1,X,,,Excel,X,,,,
,RC,19,1/6/2026,2/27/2026,59%,1,,,,Klondike,X,,,,
,Marshall,19,7/18/2024,5/2/2025,6%,1,X,,,Trans Am,X,,,,
,Knockout,17,10/26/2024,11/18/2025,6%,1,X,,,FG the Frost Giant,X,,,,
,Kiwi,15,7/9/2024,3/11/2025,5%,1,X,,,NoWay,X,,,,
,Solar Flare,13,6/17/2025,8/12/2025,9%,1,X,,,Macro,X,,,,
,Moose 88,13,12/14/2024,5/8/2025,5%,1,,,,TrafficCone,X,,,,
,Footlocker,13,5/28/2024,7/25/2025,4%,1,X,,,Solar Flare,X,,,,
,Foofoo,13,7/2/2024,11/14/2024,4%,1,X,,,Equalizer,X,,,,
,Sparky,11,7/18/2024,2/26/2026,3%,1,,,,Knockout,X,,,,
,crabcake,11,1/16/2026,2/14/2026,44%,1,,,,Trans Am,,,,,
,Carmen Sandiego,11,5/16/2024,8/1/2024,3%,1,X,,,Seagal,,,,,
,Yoo-hoo,10,3/28/2025,10/18/2025,5%,1,,,,Monopoly,X,,,,
,Cheesesteak,10,8/29/2025,10/24/2025,10%,1,,,,Tekken,X,,,,
,Brahma,9,9/30/2025,1/13/2026,11%,1,,,,Odd Job,X,,,,
,Spartan,8,6/1/2024,9/27/2025,2%,1,,,,Tiger,X,,,,
,Denied,8,8/28/2025,11/6/2025,8%,1,,,,Cheesesteak,,,,,
,Shocker,7,2/4/2025,2/28/2025,3%,1,,,,High Life,X,,,,
,Sega,7,1/20/2026,2/19/2026,30%,1,,,,Sunshine,X,,,,
,GhostRider,6,8/29/2025,9/26/2025,6%,1,,,,SixFour,X,,,,
,And1,6,9/19/2024,11/26/2024,2%,1,,,,TONKA,X,,,,
,Space Cowboy,5,8/8/2025,10/28/2025,4%,1,,,,Fajita,,,,,
,Skims,5,10/26/2024,11/16/2024,2%,1,,,,RC,,,,,
,PTfail,5,7/20/2024,8/10/2024,2%,1,,,,crabcake,,,,,
,Happy Feet,5,6/11/2024,6/18/2024,1%,1,,,,,,,,,
,Thunder Squirrel,4,11/2/2024,11/9/2024,1%,1,,,,,,,,,
,Power Outage,4,6/29/2024,7/25/2024,1%,1,,,,,,,,,
,Pho,4,2/17/2026,2/26/2026,57%,1,,,,,,,,,
,Nike,4,6/22/2024,9/28/2024,1%,1,,,,,,,,,
,Major Pain,4,12/16/2025,1/10/2026,9%,2,,,,,,,,,
,Green Mile,4,10/2/2025,10/16/2025,5%,1,,,,,,,,,
,FunSize,4,8/2/2025,12/13/2025,3%,1,,,,,,,,,
,Fogo,4,11/4/2025,11/18/2025,6%,1,,,,,,,,,
,Crawling Bear,4,6/4/2024,6/18/2024,1%,1,,,,,,,,,
,Wilson,3,8/19/2025,9/2/2025,3%,1,,,,,,,,,
,Tyson,3,7/25/2025,8/7/2025,3%,1,,,,,,,,,
,Real,3,11/5/2025,11/21/2025,5%,1,,,,,,,,,
,Money Talks,3,12/13/2025,12/27/2025,7%,1,,,,,,,,,
,Hydroponic,3,8/13/2024,9/3/2024,1%,1,,,,,,,,,
,Grasshopper,3,7/4/2025,7/12/2025,2%,1,,,,,,,,,
,The Boss,2,11/9/2024,11/16/2024,1%,1,,,,,,,,,
,Scooter,2,5/4/2024,6/8/2024,1%,1,,,,,,,,,
,SaltLife,2,10/26/2024,11/30/2024,1%,1,,,,,,,,,
,Q*bert,2,10/17/2025,10/25/2025,3%,1,,,,,,,,,
,Penalty,2,8/9/2025,8/16/2025,2%,1,,,,,,,,,
,Oxtails,2,4/17/2025,4/24/2025,1%,1,,,,,,,,,
,Lincoln,2,7/11/2024,7/16/2024,1%,1,,,,,,,,,
,Javelin,2,11/18/2025,2/14/2026,3%,1,,,,,,,,,
,Jacknife,2,2/26/2026,2/27/2026,100%,1,,,,,,,,,
,Hydra,2,6/12/2025,6/17/2025,1%,2,,,,,,,,,
,Hondo,2,7/16/2024,7/27/2024,1%,1,,,,,,,,,
,Hog,2,9/27/2024,10/1/2024,1%,1,,,,,,,,,
,Garfield,2,6/10/2025,6/12/2025,1%,1,,,,,,,,,
,Fast-Pitch,2,6/4/2024,7/13/2024,1%,1,,,,,,,,,
,Easy-E,2,7/20/2024,11/9/2024,1%,1,,,,,,,,,
,Dr. VooDoo,2,7/1/2025,8/12/2025,2%,1,,,,,,,,,
,Cyborg,2,6/22/2024,6/27/2024,1%,1,,,,,,,,,
,Butterfly,2,8/9/2025,8/14/2025,2%,1,,,,,,,,,
,Bono,2,6/1/2024,6/6/2024,1%,1,,,,,,,,,
,Woofer,1,2/11/25,2/11/25,0%,1,,,,,,,,,
,WolfHound,1,5/20/2025,5/20/2025,1%,1,,,,,,,,,
,Vulcan,1,6/22/2024,6/22/2024,0%,1,,,,,,,,,
,Upstream,1,1/9/2026,1/9/2026,3%,1,,,,,,,,,
,Tropicana,1,9/19/2024,9/19/2024,0%,1,,,,,,,,,
,Travel Agent,1,6/8/2024,6/8/2024,0%,1,,,,,,,,,
,Sucker Punch,1,8/15/2024,8/15/2024,0%,1,,,,,,,,,
,Steamer,1,2/28/2025,2/28/2025,0%,1,,,,,,,,,
,Soul Train,1,9/16/2025,9/16/2025,1%,1,,,,,,,,,
,Smoke Alarm,1,5/27/2025,5/27/2025,1%,1,,,,,,,,,
,Schmedium,1,10/26/2024,10/26/2024,0%,1,,,,,,,,,
,Rubber Ducky,1,1/6/2026,1/6/2026,3%,1,,,,,,,,,
,RiverRat,1,2/26/2026,2/26/2026,50%,1,,,,,,,,,
,R&R,1,8/17/2024,8/17/2024,0%,1,,,,,,,,,
,po-yo,1,11/11/2025,11/11/2025,2%,1,,,,,,,,,
,Pele,1,7/18/2025,7/18/2025,1%,1,,,,,,,,,
,Pappa bear,1,12/11/2025,12/11/2025,2%,1,,,,,,,,,
,Mr. Myagi,1,10/17/2024,10/17/2024,0%,1,,,,,,,,,
,Miami Vice,1,7/22/2025,7/22/2025,1%,1,,,,,,,,,
,Maui,1,8/28/2025,8/28/2025,1%,1,,,,,,,,,
,Marino,1,7/4/2024,7/4/2024,0%,1,,,,,,,,,
,Malware,1,8/9/2025,8/9/2025,1%,1,,,,,,,,,
,Major Payne,1,12/13/2025,12/13/2025,2%,1,,,,,,,,,
,Maduro,1,2/27/2026,2/27/2026,100%,1,,,,,,,,,
,MacBeth,1,11/25/2025,11/25/2025,2%,1,,,,,,,,,
,Khakis,1,10/26/2024,10/26/2024,0%,1,,,,,,,,,
,Homemaker,1,7/20/2024,7/20/2024,0%,1,,,,,,,,,
,Gym Rat,1,10/25/2025,10/25/2025,1%,1,,,,,,,,,
,GTL,1,2/8/2025,2/8/2025,0%,1,,,,,,,,,
,GoldenMember,1,12/21/2024,12/21/2024,0%,1,,,,,,,,,
,G-unit,1,8/31/2024,8/31/2024,0%,1,,,,,,,,,
,G-Shock,1,7/27/2024,7/27/2024,0%,1,,,,,,,,,
,Flat Line,1,6/29/2024,6/29/2024,0%,1,,,,,,,,,
,Fembot,1,12/21/2024,12/21/2024,0%,1,,,,,,,,,
,Fedex,1,8/12/2025,8/12/2025,1%,1,,,,,,,,,
,Drive By,1,6/29/2024,6/29/2024,0%,1,,,,,,,,,
,Diesel,1,9/2/2025,9/2/2025,1%,1,,,,,,,,,
,Dialup,1,1/14/2025,1/14/2025,0%,1,,,,,,,,,
,Cook Book,1,11/19/2024,11/19/2024,0%,1,,,,,,,,,
,Chisel,1,3/29/2025,3/29/2025,1%,1,,,,,,,,,
,Chaser,1,6/29/2025,6/29/2025,1%,1,,,,,,,,,
,Cabana Boy,1,8/31/2024,8/31/2024,0%,1,,,,,,,,,
,Bongo,1,10/25/2025,10/25/2025,1%,1,,,,,,,,,
Visitor,Triple Crown,28,7/13/2024,9/11/2025,9%,1,X,,,,,,,,
,Excel,21,7/23/2024,2/26/2026,7%,1,X,,,,,,,,
,HardBack,19,7/16/2024,8/14/2025,6%,1,X,,,,,,,,
,Tiger,16,6/11/2024,2/26/2026,5%,1,X,,,,,,,,
,Klondike,16,6/6/2024,12/13/2025,5%,1,X,,,,,,,,
,Stiltskin,15,7/16/2024,10/21/2025,5%,1,X,,,,,,,,
,Monopoly,12,10/26/2024,10/25/2025,4%,1,X,,,,,,,,
,Fajita,12,6/27/2024,2/26/2026,4%,1,,,,,,,,,
,Tigres,11,7/4/2024,11/4/2025,3%,1,,,,,,,,,
,Switchblade,11,7/13/2024,9/11/2025,3%,1,X,,,,,,,,
,Trans Am,10,8/1/2024,6/13/2025,3%,1,X,,,,,,,,
,Seagal,10,7/13/2024,8/9/2025,3%,1,,,,,,,,,
,Jag,10,7/30/2024,12/13/2025,3%,1,,,,,,,,,
,TJ Maxx,9,7/27/2024,1/31/2026,3%,1,,,,,,,,,
,Slater,9,7/2/2024,7/3/2025,3%,1,,,,,,,,,
,Quarter,9,7/25/2024,8/28/2025,3%,1,,,,,,,,,
,Latex,9,8/13/2024,1/31/2026,3%,1,,,,,,,,,
,Drop Zone,9,7/27/2024,6/28/2025,3%,1,,,,,,,,,
,Bob Barker,9,6/18/2024,4/11/2025,3%,1,,,,,,,,,
,Torch,8,7/27/2024,10/25/2025,2%,1,,,,,,,,,
,Quikrete,8,9/17/2024,12/13/2025,3%,1,,,,,,,,,
,Forrest,8,6/27/2024,2/26/2026,2%,1,,,,,,,,,
,Bubbles,8,7/4/2024,10/25/2025,2%,1,,,,,,,,,
,Joints,7,7/4/2024,1/31/2026,2%,1,,,,,,,,,
,Fortune Cookie,7,7/4/2024,1/31/2026,2%,1,,,,,,,,,
,Drill Bit,7,9/3/2024,6/26/2025,2%,1,,,,,,,,,
,Uncle Sam,6,6/20/2024,8/8/2025,2%,1,,,,,,,,,
,Timber,6,7/11/2024,11/11/2025,2%,1,,,,,,,,,
,Mr. Clean,6,7/18/2024,10/25/2025,2%,1,,,,,,,,,
,Frolf,6,7/18/2024,3/6/2025,2%,1,,,,,,,,,
,Bunny Slope,6,6/11/2024,2/8/2025,2%,1,,,,,,,,,
,Bigmouth,6,7/4/2024,4/3/2025,2%,1,,,,,,,,,
