Date,Time,Type,Q,Notes
1/1/2026,0500,Bootcamp,Mickey ,
1/2/2026,0500,SB,Frost Giant ,
1/3/2026,0600,Bootcamp,Okie,Guest Q
1/6/2026,0500,Bootcamp,Catheter ,
1/8/2026,0500,Bootcamp,Macro,
1/9/2026,0500,SB,CSharp,
1/10/2026,0600,Bootcamp,Snacks,
1/13/2026,0500,Bootcamp,Catheter ,
1/15/2026,0500,Bootcamp,Skynet,
1/16/2026,0500,SB,SunDevil,
1/17/2026,0600,Bootcamp,⏱️ Equalizer 🔫,
1/20/2026,0500,Bootcamp,Macro,
1/22/2026,0500,Bootcamp,Mickey ,
1/23/2026,0500,SB,Skynet,
1/24/2026,0600,Bootcamp,Pi 3.14,
1/27/2026,0500,Bootcamp,Traffic Cone,
1/29/2026,0500,Bootcamp,Pi 3.14,
1/30/2026,0500,SB,⏱️ Equalizer 🔫,
1/31/2026,0600,Bootcamp,CLOSED,Pickle Ball 
2/3/2026,0500,Bootcamp,Pi 3.14,
2/5/2026,0500,Bootcamp,Mickey ,
2/6/2026,0500,SB,Macro,
2/7/2026,0600,Bootcamp,Snacks,
2/10/2026,0500,Bootcamp,Noway,
2/12/2026,0500,Bootcamp,Frost Giant ,
2/13/2026,0500,SB,Bogey,Guest Q
2/14/2026,0600,Bootcamp,Snacks,
2/17/2026,0500,Bootcamp,CSharp,
2/19/2026,0500,Bootcamp,Walter White ,
2/20/2026,0500,SB,Mickey ,
2/21/2026,0600,Bootcamp,Snacks,
2/24/2026,0500,Bootcamp,,
2/26/2026,0500,Bootcamp,⏱️ Equalizer 🔫,Farewell Q
2/27/2026,0500,SB,⏱️ Equalizer 🔫,Farewell Q
2/28/2026,0600,Bootcamp,Mickey ,Pickleball 
3/3/2026,0500,Bootcamp,Traffic Cone (FG) 3/4 bday,
3/5/2026,0500,Bootcamp,Frost Giant (TC) 3/4 bday,
3/6/2026,0500,SB,Noway ,
3/7/2026,0600,Bootcamp,,
3/10/2026,0500,Bootcamp,,
3/12/2026,0500,Bootcamp,,
3/13/2026,0500,SB,,
3/14/2026,0600,Bootcamp,Pi 3.14,Pi Day!
3/17/2026,0500,Bootcamp,,
3/19/2026,0500,Bootcamp,Pi 3.14,Manniversary - 7 years!
3/20/2026,0500,SB,,
3/21/2026,0600,Bootcamp,,
3/24/2026,0500,Bootcamp,,
3/26/2026,0500,Bootcamp,,
3/27/2026,0500,SB,,
3/28/2026,0600,Bootcamp,Mickey ,Pickleball 
3/31/2026,0500,Bootcamp,,
4/2/2026,0600,Bootcamp,,
